Time,Name,Z0,Z1,Reference
0.0,,0.0,0.0,0.0
0.0,,0.0,0.0,0.0
0.0,,0.0,0.0,0.0
0.0,,0.0,0.0,0.0
0.0,,0.0,0.0,0.0
0.0,,0.0,0.0,0.0
0.0,,0.0,0.0,0.0
0.0,,0.0,0.0,0.0
0.0,,0.0,0.0,0.0
0.0,,0.0,0.0,0.0
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.001,,-6.542803033413743e-07,-2.5508205184053623e-06,6.542803033413743e-07
0.002,,-2.6162485487395e-06,-5.449813180105918e-06,2.6162485487395e-06
0.002,,-2.6162485487395e-06,-5.449813180105918e-06,2.6162485487395e-06
0.002,,-2.6162485487395e-06,-5.449813180105918e-06,2.6162485487395e-06
0.002,,-2.6162485487395e-06,-5.449813180105918e-06,2.6162485487395e-06
0.003,,-5.8844225815511055e-06,-9.460163392411462e-06,5.884595739255381e-06
0.003,,-5.8844225815511055e-06,-9.460163392411462e-06,5.884595739255381e-06
0.003,,-5.8844225815511055e-06,-9.460163392411462e-06,5.884595739255381e-06
0.004,,-1.0457365378895493e-05,-1.4566402682732627e-05,1.0458012877950023e-05
0.004,,-1.0457365378895493e-05,-1.4566402682732627e-05,1.0458012877950023e-05
0.004,,-1.0457365378895493e-05,-1.4566402682732627e-05,1.0458012877950023e-05
0.005,,-1.6333603481739456e-05,-2.0759074490730508e-05,1.633519096788443e-05
0.005,,-1.6333603481739456e-05,-2.0759074490730508e-05,1.633519096788443e-05
0.005,,-1.6333603481739456e-05,-2.0759074490730508e-05,1.633519096788443e-05
0.005,,-1.6333603481739456e-05,-2.0759074490730508e-05,1.633519096788443e-05
0.005,,-1.6333603481739456e-05,-2.0759074490730508e-05,1.633519096788443e-05
0.005,,-1.6333603481739456e-05,-2.0759074490730508e-05,1.633519096788443e-05
0.005,,-1.6333603481739456e-05,-2.0759074490730508e-05,1.633519096788443e-05
0.006,,-2.3511626258156687e-05,-2.8030671285843363e-05,2.35148210121196e-05
0.006,,-2.3511626258156687e-05,-2.8030671285843363e-05,2.35148210121196e-05
0.006,,-2.3511626258156687e-05,-2.8030671285843363e-05,2.35148210121196e-05
0.006,,-2.3511626258156687e-05,-2.8030671285843363e-05,2.35148210121196e-05
0.006,,-2.3511626258156687e-05,-2.8030671285843363e-05,2.35148210121196e-05
0.006,,-2.3511626258156687e-05,-2.8030671285843363e-05,2.35148210121196e-05
0.006,,-2.3511626258156687e-05,-2.8030671285843363e-05,2.35148210121196e-05
0.006,,-2.3511626258156687e-05,-2.8030671285843363e-05,2.35148210121196e-05
0.006,,-2.3511626258156687e-05,-2.8030671285843363e-05,2.35148210121196e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.007,,-3.198988498849406e-05,-3.6374878359651934e-05,3.199559401371655e-05
0.008,,-4.176679187172275e-05,-4.578612517303293e-05,4.177620097573627e-05
0.008,,-4.176679187172275e-05,-4.578612517303293e-05,4.177620097573627e-05
0.008,,-4.176679187172275e-05,-4.578612517303293e-05,4.177620097573627e-05
0.008,,-4.176679187172275e-05,-4.578612517303293e-05,4.177620097573627e-05
0.009000000000000001,,-5.284071897002595e-05,-5.6259266352064486e-05,5.2855332901239786e-05
0.009000000000000001,,-5.284071897002595e-05,-5.6259266352064486e-05,5.2855332901239786e-05
0.009000000000000001,,-5.284071897002595e-05,-5.6259266352064486e-05,5.2855332901239786e-05
